"test","movieid","title","genres","imdbid","tmdbid","userid","rating","timestamp"
21935,1025,"Sword in the Stone, The (1963)","Animation|Children|Fantasy|Musical",57546,9078,1,5.0,964982791
21960,1027,"Robin Hood: Prince of Thieves (1991)","Adventure|Drama",102798,8367,33,3.0,939716819
21988,1028,"Mary Poppins (1964)","Children|Comedy|Fantasy|Musical",58331,433,10,0.5,1455306152
22059,1029,"Dumbo (1941)","Animation|Children|Drama|Musical",33563,11360,1,5.0,964982855
22094,1030,"Pete's Dragon (1977)","Adventure|Animation|Children|Musical",76538,11114,1,3.0,964982903
22109,1031,"Bedknobs and Broomsticks (1971)","Adventure|Children|Musical",66817,12335,1,5.0,964982653
22133,1032,"Alice in Wonderland (1951)","Adventure|Animation|Children|Fantasy|Musical",43274,12092,1,5.0,964982791
22173,1033,"Fox and the Hound, The (1981)","Animation|Children|Drama",82406,10948,45,4.0,959625102
22193,1034,"Freeway (1996)","Comedy|Crime|Drama|Thriller",116361,11229,90,5.0,856354451
22198,1035,"Sound of Music, The (1965)","Musical|Romance",59742,15121,20,4.5,1054147359
22262,1036,"Die Hard (1988)","Action|Crime|Thriller",95016,562,17,4.0,1305696741
22407,1037,"Lawnmower Man, The (1992)","Action|Horror|Sci-Fi|Thriller",104692,10163,9,2.0,1044656650
22431,1040,"Secret Agent, The (1996)","Drama",117582,47199,414,3.0,965067631
22432,1041,"Secrets & Lies (1996)","Drama",117589,11159,74,5.0,1207499247
22443,1042,"That Thing You Do! (1996)","Comedy|Drama",117887,9591,1,4.0,964981179
22485,1043,"To Gillian on Her 37th Birthday (1996)","Drama|Romance",117924,30500,113,2.0,980051894
22490,1046,"Beautiful Thing (1996)","Drama|Romance",115640,10938,4,5.0,945173654
22494,1047,"Long Kiss Goodnight, The (1996)","Action|Drama|Thriller",116908,11412,19,3.0,965711308
22527,1049,"Ghost and the Darkness, The (1996)","Action|Adventure",116409,10586,1,5.0,964982400
22548,1050,"Looking for Richard (1996)","Documentary|Drama",116913,42314,23,3.5,1107164077
22553,1051,"Trees Lounge (1996)","Drama",117958,27845,171,5.0,866904563
22556,1053,"Normal Life (1996)","Crime|Drama|Romance",117202,23223,603,3.0,953925191
22557,1054,"Get on the Bus (1996)","Drama",116404,49471,610,2.0,1493850563
22558,1055,"Shadow Conspiracy (1997)","Thriller",120107,38153,199,1.0,1126036284
22560,1056,"Jude (1996)","Drama",116722,25147,33,4.0,939715955
22567,1057,"Everyone Says I Love You (1996)","Comedy|Musical|Romance",116242,9716,4,3.0,964540578
22582,1059,"William Shakespeare's Romeo + Juliet (1996)","Drama|Romance",117509,454,18,3.5,1455735783
22618,1060,"Swingers (1996)","Comedy|Drama",117802,10218,1,4.0,964980924
22654,1061,"Sleepers (1996)","Thriller",117665,819,6,4.0,845556860
22683,1064,"Aladdin and the King of Thieves (1996)","Animation|Children|Comedy|Fantasy|Musical|Romance",115491,11238,6,4.0,845556579
22696,1066,"Shall We Dance (1937)","Comedy|Musical|Romance",29546,31530,128,5.0,899032763
22700,1068,"Crossfire (1947)","Crime|Film-Noir",39286,28120,474,3.5,1106231071
22701,1073,"Willy Wonka & the Chocolate Factory (1971)","Children|Comedy|Fantasy|Musical",67992,252,1,5.0,964981680
22820,1076,"Innocents, The (1961)","Drama|Horror|Thriller",55018,16372,NULL,NULL,NULL
22821,1077,"Sleeper (1973)","Comedy|Sci-Fi",70707,11561,4,5.0,945173692
22849,1078,"Bananas (1971)","Comedy|War",66808,11302,156,3.0,946799057
22860,1079,"Fish Called Wanda, A (1988)","Comedy|Crime",95159,623,4,2.0,945078946
22931,1080,"Monty Python's Life of Brian (1979)","Comedy",79470,583,1,5.0,964981327
23020,1081,"Victor/Victoria (1982)","Comedy|Musical|Romance",84865,12614,19,2.0,965706389
23032,1082,"Candidate, The (1972)","Drama",68334,21711,6,4.0,845556278
23038,1083,"Great Race, The (1965)","Comedy|Musical",59243,11575,27,4.0,965149552
23044,1084,"Bonnie and Clyde (1967)","Crime|Drama",61418,475,4,5.0,945079259
23079,1085,"Old Man and the Sea, The (1958)","Adventure|Drama",52027,11331,217,3.0,955941925
23081,1086,"Dial M for Murder (1954)","Crime|Mystery|Thriller",46912,521,4,5.0,964539723
23106,1088,"Dirty Dancing (1987)","Drama|Musical|Romance",92890,88,10,3.0,1455619275
23148,1089,"Reservoir Dogs (1992)","Crime|Mystery|Thriller",105236,500,1,5.0,964982951
23279,1090,"Platoon (1986)","Drama|War",91763,792,1,4.0,964984018
23342,1091,"Weekend at Bernie's (1989)","Comedy",98627,8491,84,3.0,860398934
23363,1092,"Basic Instinct (1992)","Crime|Mystery|Thriller",103772,402,1,5.0,964983484
23410,1093,"Doors, The (1991)","Drama",101761,10537,3,0.5,1306463627
23447,1094,"Crying Game, The (1992)","Drama|Romance|Thriller",104036,11386,4,3.0,964538500
23489,1095,"Glengarry Glen Ross (1992)","Drama",104348,9504,9,4.0,1044657088
23504,1096,"Sophie's Choice (1982)","Drama",84707,15764,64,5.0,1161536367
23514,1097,"E.T. the Extra-Terrestrial (1982)","Children|Drama|Sci-Fi",83866,601,1,5.0,964981680
23636,1099,"Christmas Carol, A (1938)","Children|Drama|Fantasy",29992,25842,31,2.0,850467444
23640,1100,"Days of Thunder (1990)","Action|Drama|Romance",99371,2119,11,3.0,902154621
23659,1101,"Top Gun (1986)","Action|Romance",92099,744,7,4.0,1106635502
23742,1103,"Rebel Without a Cause (1955)","Drama",48545,221,4,5.0,964539723
23757,1104,"Streetcar Named Desire, A (1951)","Drama",44081,702,32,5.0,856737082
23777,1105,"Children of the Corn IV: The Gathering (1996)","Horror",115885,25750,43,5.0,848995145
23780,1107,"Loser (1991)","Comedy",102336,NULL,160,3.5,1077749409
23782,1111,"Microcosmos (Microcosmos: Le peuple de l'herbe) (1996)","Documentary",117040,9305,105,4.0,1448195945
23786,1112,"Palookaville (1996)","Action|Comedy|Drama",117284,37616,597,4.0,941730273
23788,1114,"Funeral, The (1996)","Crime|Drama",116378,21612,599,3.0,1519241700
23789,1116,"Single Girl, A (Fille seule, La) (1995)","Drama",113057,102461,90,4.0,856354577
23790,1117,"Eighth Day, The (Huitième jour, Le) (1996)","Drama",116581,36998,606,3.5,1175627831
23791,1119,"Drunks (1995)","Drama",112907,116844,603,3.0,963176127
23792,1120,"People vs. Larry Flynt, The (1996)","Comedy|Drama",117318,1630,28,3.0,1234334932
23819,1121,"Glory Daze (1995)","Drama",116422,26626,414,4.0,961518176
23820,1123,"Perfect Candidate, A (1996)","Documentary",117320,124837,275,5.0,1049076228
23822,1124,"On Golden Pond (1981)","Drama",82846,11816,3,0.5,1306464216
23835,1125,"Return of the Pink Panther, The (1975)","Comedy|Crime",72081,11843,53,5.0,1237748096
23859,1126,"Drop Dead Fred (1991)","Comedy|Fantasy",101775,10379,217,2.0,955945372
23865,1127,"Abyss, The (1989)","Action|Adventure|Sci-Fi|Thriller",96754,2756,1,4.0,964982513
23927,1128,"Fog, The (1980)","Horror",80749,790,288,2.0,976138852
23932,1129,"Escape from New York (1981)","Action|Adventure|Sci-Fi|Thriller",82340,1103,19,3.0,965703727
23971,1130,"Howling, The (1980)","Horror|Mystery",82533,11298,225,3.0,949261330
23976,1131,"Jean de Florette (1986)","Drama|Mystery",91288,4480,84,5.0,858772802
23987,1132,"Manon of the Spring (Manon des sources) (1986)","Drama",91480,4481,84,4.0,858772983
23995,1135,"Private Benjamin (1980)","Comedy",81375,10765,84,3.0,860398581
24008,1136,"Monty Python and the Holy Grail (1975)","Adventure|Comedy|Fantasy",71853,762,1,5.0,964981327
24144,1137,"Hustler White (1996)","Romance",116587,44497,90,4.0,856354577
24145,1140,"Entertaining Angels: The Dorothy Day Story (1996)","Drama",116212,99479,85,5.0,889468344
24146,1144,"Line King: The Al Hirschfeld Story, The (1996)","Documentary",116886,124829,90,4.0,856354526
24147,1147,"When We Were Kings (1996)","Documentary",118147,10548,16,4.0,1377477315
24157,1148,"Wallace & Gromit: The Wrong Trousers (1993)","Animation|Children|Comedy|Crime",108598,531,16,4.0,1377476909
24213,1150,"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)","Drama",84589,4483,391,5.0,1032388476
24216,1151,"Lesson Faust (1994)","Animation|Comedy|Drama|Fantasy",109781,18919,59,5.0,953610203
24218,1156,"Children Are Watching Us, The (Bambini ci guardano, I) (1944)","Drama",34493,61461,606,3.5,1171361663
24219,1161,"Tin Drum, The (Blechtrommel, Die) (1979)","Drama|War",78875,659,387,3.5,1180070781
24222,1162,"Ruling Class, The (1972)","Comedy|Drama",69198,30892,156,3.0,939854008
24223,1163,"Mina Tannenbaum (1994)","Drama",110521,86369,160,1.0,971113112
24224,1167,"Dear God (1996)","Comedy",116059,38554,277,3.0,861813370
24226,1170,"Best of the Best 3: No Turning Back (1995)","Action",112483,36555,493,3.0,1001562535
24228,1171,"Bob Roberts (1992)","Comedy",103850,10608,28,3.0,1243837744
24245,1172,"Cinema Paradiso (Nuovo cinema Paradiso) (1989)","Drama",95765,11216,70,5.0,1355184567
24279,1173,"Cook the Thief His Wife & Her Lover, The (1989)","Comedy|Drama",97108,7452,13,3.0,987457052
24290,1175,"Delicatessen (1991)","Comedy|Drama|Romance",101700,892,23,4.0,1107163646
24311,1176,"Double Life of Veronique, The (Double Vie de Véronique, La) (1991)","Drama|Fantasy|Romance",101765,1600,202,3.0,974925996
24314,1177,"Enchanted April (1992)","Drama|Romance",101811,26561,33,3.0,939715369
24320,1178,"Paths of Glory (1957)","Drama|War",50825,975,105,4.0,1447574111
24332,1179,"Grifters, The (1990)","Crime|Drama|Film-Noir",99703,18129,4,4.0,964539180
24359,1180,"Hear My Song (1991)","Comedy",102014,54405,469,3.0,965336955
24360,1183,"English Patient, The (1996)","Drama|Romance|War",116209,409,4,1.0,964778513
24405,1184,"Mediterraneo (1991)","Comedy|Drama",102426,38251,57,3.0,972174314
24412,1185,"My Left Foot (1989)","Drama",97937,10161,74,4.0,1207501759
24422,1186,"Sex, Lies, and Videotape (1989)","Drama",98724,1412,16,3.5,1377476649
24445,1187,"Passion Fish (1992)","Drama",105107,41768,84,3.0,860397544
24450,1188,"Strictly Ballroom (1992)","Comedy|Romance",105488,10409,4,5.0,964538500
24472,1189,"Thin Blue Line, The (1988)","Documentary",96257,14285,79,5.0,975281591
24483,1190,"Tie Me Up! Tie Me Down! (¡Átame!) (1990)","Crime|Drama|Romance",101026,2469,84,3.0,860397460
24489,1191,"Madonna: Truth or Dare (1991)","Documentary|Musical",102370,10174,42,4.0,996220487
24495,1192,"Paris Is Burning (1990)","Documentary",100332,31225,79,5.0,975281661
24500,1193,"One Flew Over the Cuckoo's Nest (1975)","Drama",73486,510,16,4.0,1377476813
24633,1194,"Cheech and Chong's Up in Smoke (1978)","Comedy",78446,11455,84,3.0,860398764
24644,1196,"Star Wars: Episode V - The Empire Strikes Back (1980)","Action|Adventure|Sci-Fi",80684,1891,1,5.0,964981827
24855,1197,"Princess Bride, The (1987)","Action|Adventure|Comedy|Fantasy|Romance",93779,2493,1,5.0,964981872
24997,1198,"Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)","Action|Adventure",82971,85,1,5.0,964981827
25197,1199,"Brazil (1985)","Fantasy|Sci-Fi",88846,68,4,2.0,945078967
25256,1200,"Aliens (1986)","Action|Adventure|Horror|Sci-Fi",90605,679,15,5.0,1510572775
25382,1201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)","Action|Adventure|Western",60196,429,16,3.0,1377477410
25454,1202,"Withnail & I (1987)","Comedy",94336,13446,63,4.0,1443200054
25461,1203,"12 Angry Men (1957)","Drama",50083,389,4,5.0,945174025
25518,1204,"Lawrence of Arabia (1962)","Adventure|Drama|War",56172,947,29,4.5,1308084015
25563,1206,"Clockwork Orange, A (1971)","Crime|Drama|Sci-Fi|Thriller",66921,185,1,5.0,964983737
25683,1207,"To Kill a Mockingbird (1962)","Drama",56592,595,16,4.0,1377476891
25741,1208,"Apocalypse Now (1979)","Action|Drama|War",78788,28,1,4.0,964983250
25848,1209,"Once Upon a Time in the West (C'era una volta il West) (1968)","Action|Drama|Western",64116,335,17,3.5,1307262267
25866,1210,"Star Wars: Episode VI - Return of the Jedi (1983)","Action|Adventure|Sci-Fi",86190,1892,1,5.0,964980499
26062,1211,"Wings of Desire (Himmel über Berlin, Der) (1987)","Drama|Fantasy|Romance",93191,144,4,1.0,964539205
26075,1212,"Third Man, The (1949)","Film-Noir|Mystery|Thriller",41959,1092,18,4.5,1455059742
26099,1213,"Goodfellas (1990)","Crime|Drama",99685,769,1,5.0,964982951
26225,1214,"Alien (1979)","Horror|Sci-Fi",78748,348,1,4.0,964981855
26371,1215,"Army of Darkness (1993)","Action|Adventure|Comedy|Fantasy|Horror",106308,766,19,3.0,965706068
26422,1216,"Big Blue, The (Grand bleu, Le) (1988)","Adventure|Drama|Romance",95250,175,66,4.5,1113188759
26433,1217,"Ran (1985)","Drama|War",89881,11645,23,3.5,1107341647
26448,1218,"Killer, The (Die xue shuang xiong) (1989)","Action|Crime|Drama|Thriller",97202,10835,23,3.5,1107164383
26459,1219,"Psycho (1960)","Crime|Horror",54215,539,1,2.0,964983393
26542,1220,"Blues Brothers, The (1980)","Action|Comedy|Musical",80455,525,1,5.0,964981909
26626,1221,"Godfather: Part II, The (1974)","Crime|Drama",71562,240,17,4.5,1305696752
26755,1222,"Full Metal Jacket (1987)","Drama|War",93058,600,1,5.0,964981909
26857,1223,"Grand Day Out with Wallace and Gromit, A (1989)","Adventure|Animation|Children|Comedy|Sci-Fi",104361,530,16,4.0,1377477855
26885,1224,"Henry V (1989)","Action|Drama|Romance|War",97499,10705,1,5.0,964984018
26904,1225,"Amadeus (1984)","Drama",86879,279,4,4.0,964539326
26980,1226,"Quiet Man, The (1952)","Drama|Romance",45061,3109,1,5.0,964983618
26986,1227,"Once Upon a Time in America (1984)","Crime|Drama",87843,311,18,4.5,1485097725
27002,1228,"Raging Bull (1980)","Drama",81398,1578,17,4.5,1326943248
27042,1230,"Annie Hall (1977)","Comedy|Romance",75686,703,16,4.0,1377477576
27100,1231,"Right Stuff, The (1983)","Drama",86197,9549,31,3.0,850467468
27122,1232,"Stalker (1979)","Drama|Mystery|Sci-Fi",79944,1398,23,5.0,1107163618
27130,1233,"Boot, Das (Boat, The) (1981)","Action|Drama|War",82096,387,23,5.0,1107162927
27170,1234,"Sting, The (1973)","Comedy|Crime",70735,9277,17,4.0,1305696795
27234,1235,"Harold and Maude (1971)","Comedy|Drama|Romance",67185,343,51,5.0,1230929688
27260,1236,"Trust (1990)","Comedy|Drama|Romance",103130,37291,226,4.0,1095663914
27263,1237,"Seventh Seal, The (Sjunde inseglet, Det) (1957)","Drama",50976,490,23,4.0,1107162947
27281,1238,"Local Hero (1983)","Comedy",85859,11235,19,3.0,965705784
27290,1240,"Terminator, The (1984)","Action|Sci-Fi|Thriller",88247,218,1,5.0,964983723
27421,1241,"Dead Alive (Braindead) (1992)","Comedy|Fantasy|Horror",103873,763,91,4.5,1112711920
27431,1242,"Glory (1989)","Drama|War",97441,9665,29,4.0,1307908267
27472,1243,"Rosencrantz and Guildenstern Are Dead (1990)","Comedy|Drama",100519,18971,23,3.5,1107341801
27488,1244,"Manhattan (1979)","Comedy|Drama|Romance",79522,696,51,4.0,1230932469
27521,1245,"Miller's Crossing (1990)","Crime|Drama|Film-Noir|Thriller",100150,379,18,4.0,1503000947
27541,1246,"Dead Poets Society (1989)","Drama",97165,207,7,1.5,1106635678
27627,1247,"Graduate, The (1967)","Comedy|Drama|Romance",61722,37247,10,3.0,1455303518
27706,1248,"Touch of Evil (1958)","Crime|Film-Noir|Thriller",52311,1480,23,3.0,1107162687
27723,1249,"Femme Nikita, La (Nikita) (1990)","Action|Crime|Romance|Thriller",100263,9322,23,3.5,1107341734
27758,1250,"Bridge on the River Kwai, The (1957)","Adventure|Drama|War",50212,826,4,5.0,945174008
27803,1251,"8 1/2 (8½) (1963)","Drama|Fantasy",56801,422,50,4.5,1534178801
27817,1252,"Chinatown (1974)","Crime|Film-Noir|Mystery|Thriller",71315,829,16,4.5,1377476948
27876,1253,"Day the Earth Stood Still, The (1951)","Drama|Sci-Fi|Thriller",43456,828,28,3.5,1277001848
27901,1254,"Treasure of the Sierra Madre, The (1948)","Action|Adventure|Drama|Western",40897,3090,57,4.0,965795869
27917,1255,"Bad Taste (1987)","Comedy|Horror|Sci-Fi",92610,9964,274,3.5,1200444417
27923,1256,"Duck Soup (1933)","Comedy|Musical|War",23969,3063,1,5.0,964981442
27946,1257,"Better Off Dead... (1985)","Comedy|Romance",88794,13667,19,3.0,965705725
27973,1258,"Shining, The (1980)","Horror",81505,694,1,3.0,964983414
28082,1259,"Stand by Me (1986)","Adventure|Drama",92005,235,4,4.0,964538728
28173,1260,"M (1931)","Crime|Film-Noir|Thriller",22100,832,16,4.0,1377476887
28188,1261,"Evil Dead II (Dead by Dawn) (1987)","Action|Comedy|Fantasy|Horror",92991,765,16,4.0,1377476629
28222,1262,"Great Escape, The (1963)","Action|Adventure|Drama|War",57115,5925,27,5.0,962686386
28265,1263,"Deer Hunter, The (1978)","Drama|War",77416,11778,3,0.5,1306463569
28308,1264,"Diva (1981)","Action|Drama|Mystery|Romance|Thriller",82269,4485,156,3.0,939898085
28313,1265,"Groundhog Day (1993)","Comedy|Fantasy|Romance",107048,137,1,4.0,964983599
28456,1266,"Unforgiven (1992)","Drama|Western",105695,33,4,4.0,986849037
28501,1267,"Manchurian Candidate, The (1962)","Crime|Thriller|War",56218,982,16,4.0,1377477387
28531,1268,"Pump Up the Volume (1990)","Comedy|Drama",100436,8428,57,3.0,972174580
28540,1269,"Arsenic and Old Lace (1944)","Comedy|Mystery|Thriller",36613,212,19,4.0,965705942
28569,1270,"Back to the Future (1985)","Adventure|Comedy|Sci-Fi",88763,105,1,5.0,964983705
28740,1271,"Fried Green Tomatoes (1991)","Comedy|Crime|Drama",101921,1633,28,2.0,1234334960
28770,1272,"Patton (1970)","Drama|War",66206,11202,3,0.5,1306463624
28803,1273,"Down by Law (1986)","Comedy|Drama|Film-Noir",90967,1554,50,3.0,1514239272
28814,1274,"Akira (1988)","Action|Adventure|Animation|Sci-Fi",94625,149,23,4.0,1107163495
28853,1275,"Highlander (1986)","Action|Adventure|Fantasy",91203,8009,1,5.0,964982290
28901,1276,"Cool Hand Luke (1967)","Drama",61512,903,16,4.0,1377477457
28958,1277,"Cyrano de Bergerac (1990)","Comedy|Drama|Romance",99334,11673,57,3.0,965796563
28970,1278,"Young Frankenstein (1974)","Comedy|Fantasy",72431,3034,1,5.0,964983414
29039,1279,"Night on Earth (1991)","Comedy|Drama",102536,339,4,2.0,986934832
29047,1280,"Raise the Red Lantern (Da hong deng long gao gao gua) (1991)","Drama",101640,10404,33,5.0,939716738
29056,1281,"Great Dictator, The (1940)","Comedy|Drama|War",32553,914,16,3.0,1377477580
29071,1282,"Fantasia (1940)","Animation|Children|Fantasy|Musical",32455,756,1,5.0,964982703
29124,1283,"High Noon (1952)","Drama|Western",44706,288,4,5.0,945078690
29143,1284,"Big Sleep, The (1946)","Crime|Film-Noir|Mystery",38355,910,23,5.0,1107162632
29157,1285,"Heathers (1989)","Comedy",97493,2640,19,5.0,965706185
29198,1286,"Somewhere in Time (1980)","Drama|Romance",81534,16633,84,3.0,860398475
29205,1287,"Ben-Hur (1959)","Action|Adventure|Drama",52618,665,27,5.0,965149756
29239,1288,"This Is Spinal Tap (1984)","Comedy",88258,11031,4,4.0,945079653
29305,1289,"Koyaanisqatsi (a.k.a. Koyaanisqatsi: Life Out of Balance) (1983)","Documentary",85809,11314,50,3.0,1514239232
29316,1290,"Some Kind of Wonderful (1987)","Drama|Romance",94006,15143,84,3.0,860397426
29326,1291,"Indiana Jones and the Last Crusade (1989)","Action|Adventure",97576,89,1,5.0,964981909
29466,1292,"Being There (1979)","Comedy|Drama",78841,10322,68,2.5,1352614711
29486,1293,"Gandhi (1982)","Drama",83987,783,55,4.0,1312747695
29513,1295,"Unbearable Lightness of Being, The (1988)","Drama",96332,10644,84,5.0,858773024
29524,1296,"Room with a View, A (1986)","Drama|Romance",91867,11257,84,4.0,858773054
29541,1297,"Real Genius (1985)","Comedy",89886,14370,19,4.0,965706140
29561,1298,"Pink Floyd: The Wall (1982)","Drama|Musical",84503,12104,1,5.0,964984086
29584,1299,"Killing Fields, The (1984)","Drama|War",87553,625,16,4.0,1377477583
29612,1300,"My Life as a Dog (Mitt liv som hund) (1985)","Comedy|Drama",89606,8816,70,5.0,1355198710
29621,1301,"Forbidden Planet (1956)","Drama|Sci-Fi",49223,830,51,4.5,1230930497
29634,1302,"Field of Dreams (1989)","Children|Drama|Fantasy",97351,2323,3,0.5,1306464189
29690,1303,"Man Who Would Be King, The (1975)","Adventure|Drama",73341,983,28,3.0,1235805655
29707,1304,"Butch Cassidy and the Sundance Kid (1969)","Action|Western",64115,642,4,3.0,945078467
29769,1305,"Paris, Texas (1984)","Drama|Romance",87884,655,84,3.0,860397530
29773,1306,"Until the End of the World (Bis ans Ende der Welt) (1991)","Adventure|Drama|Sci-Fi",101458,10341,198,3.0,1034138064
29778,1307,"When Harry Met Sally... (1989)","Comedy|Romance",98635,639,10,3.0,1455357613
29863,1310,"Hype! (1996)","Documentary",116589,30180,603,5.0,954481981
29864,1312,"Female Perversions (1996)","Drama",116293,41801,202,2.0,974912096
29866,1318,"Blue Juice (1995)","Comedy|Drama",112537,18762,132,2.0,1174935480
29867,1320,"Alien³ (a.k.a. Alien 3) (1992)","Action|Horror|Sci-Fi|Thriller",103644,8077,48,4.0,1127128731
29914,1321,"American Werewolf in London, An (1981)","Comedy|Horror|Thriller",82010,814,91,4.5,1112711566
29937,1322,"Amityville 1992: It's About Time (1992)","Horror",103678,41671,19,2.0,965705443
29940,1323,"Amityville 3-D (1983)","Horror",85159,27214,307,1.0,1186084951
29943,1324,"Amityville: Dollhouse (1996)","Horror",115535,52263,19,2.0,965705263
29946,1325,"Amityville: A New Generation (1993)","Horror",106262,33519,307,0.5,1186084968
29948,1326,"Amityville II: The Possession (1982)","Horror",83550,16235,66,0.5,1113189117
29952,1327,"Amityville Horror, The (1979)","Drama|Horror|Mystery|Thriller",78767,11449,274,3.0,1205291623
29967,1328,"Amityville Curse, The (1990)","Horror",99030,41848,307,0.5,1186084961
29969,1329,"Blood for Dracula (Andy Warhol's Dracula) (1974)","Horror",71233,25944,387,3.5,1121555728
29971,1330,"April Fool's Day (1986)","Horror",90655,24913,19,2.0,965705240
29975,1331,"Audrey Rose (1977)","Horror",75704,49126,571,2.0,966900418
29976,1332,"Believers, The (1987)","Horror|Thriller",92632,32076,414,3.0,961682058
29979,1333,"Birds, The (1963)","Horror|Thriller",56869,571,19,3.0,965704881
30023,1334,"Blob, The (1958)","Horror|Sci-Fi",51418,8851,149,4.0,902085141
30029,1335,"Blood Beach (1981)","Horror|Mystery",82083,37843,514,1.0,1534114141
30030,1336,"Body Parts (1991)","Horror|Thriller",101492,32146,555,1.0,980126214
30031,1337,"Body Snatcher, The (1945)","Drama|Horror|Thriller",37549,30346,91,4.5,1112712688
30032,1339,"Dracula (Bram Stoker's Dracula) (1992)","Fantasy|Horror|Romance|Thriller",103874,6114,19,2.0,965705040
30061,1340,"Bride of Frankenstein, The (Bride of Frankenstein) (1935)","Drama|Horror|Sci-Fi",26138,229,91,3.0,1112712515
30064,1341,"Burnt Offerings (1976)","Horror",74258,13549,454,4.5,1279478293
30066,1342,"Candyman (1992)","Horror|Thriller",103919,9529,19,2.0,965704952
30077,1343,"Cape Fear (1991)","Thriller",101540,1598,42,3.0,996218222
30102,1344,"Cape Fear (1962)","Crime|Drama|Thriller",55824,11349,140,3.0,952101286
30116,1345,"Carrie (1976)","Drama|Fantasy|Horror|Thriller",74285,7340,19,3.0,965704931
30152,1346,"Cat People (1982)","Drama|Fantasy|Horror",83722,6217,19,2.0,965705137
30160,1347,"Nightmare on Elm Street, A (1984)","Horror|Thriller",87800,377,15,3.0,1299425144
30187,1348,"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)","Horror",13442,653,1,4.0,964983393
30203,1349,"Vampire in Venice (Nosferatu a Venezia) (Nosferatu in Venice) (1986)","Horror",91651,28198,603,5.0,953925548
30204,1350,"Omen, The (1976)","Horror|Mystery|Thriller",75005,794,51,4.5,1230930492
30226,1351,"Blood and Wine (Blood & Wine) (1996)","Crime|Drama|Thriller",115710,31640,372,3.0,874416280
30229,1352,"Albino Alligator (1996)","Crime|Thriller",115495,8744,372,2.0,874416058
30231,1353,"Mirror Has Two Faces, The (1996)","Comedy|Drama|Romance",117057,25189,31,4.0,850467078
30235,1354,"Breaking the Waves (1996)","Drama|Mystery",115751,145,105,4.0,1448647819
30242,1355,"Nightwatch (1997)","Horror|Thriller",119791,2212,19,2.0,965711649
30245,1356,"Star Trek: First Contact (1996)","Action|Adventure|Sci-Fi|Thriller",117731,199,18,4.5,1455231686
30336,1357,"Shine (1996)","Drama|Romance",117631,7863,12,5.0,1247263404
30360,1358,"Sling Blade (1996)","Drama",117666,12498,11,4.0,902155136
30407,1359,"Jingle All the Way (1996)","Children|Comedy",116705,9279,19,3.0,965707983
30425,1361,"Paradise Lost: The Child Murders at Robin Hood Hills (1996)","Documentary",117293,17204,31,5.0,850466810
30431,1363,"Preacher's Wife, The (1996)","Drama",117372,21539,31,5.0,850466810
30436,1365,"Ridicule (1996)","Drama",117477,12709,33,3.0,939715749
30442,1366,"Crucible, The (1996)","Drama",115988,20539,90,4.0,856354367
30447,1367,"101 Dalmatians (1996)","Adventure|Children|Comedy",115433,11674,19,1.0,965706615
30494,1370,"Die Hard 2 (1990)","Action|Adventure|Thriller",99423,1573,11,3.0,902154383
30562,1371,"Star Trek: The Motion Picture (1979)","Adventure|Sci-Fi",79945,152,3,3.0,1306463561
30607,1372,"Star Trek VI: The Undiscovered Country (1991)","Action|Mystery|Sci-Fi",102975,174,19,5.0,965703698
30649,1373,"Star Trek V: The Final Frontier (1989)","Action|Sci-Fi",98382,172,19,1.0,965703973
30679,1374,"Star Trek II: The Wrath of Khan (1982)","Action|Adventure|Sci-Fi|Thriller",84726,154,18,4.5,1456958429
30741,1375,"Star Trek III: The Search for Spock (1984)","Action|Adventure|Sci-Fi",88170,157,17,3.5,1305696232
30783,1376,"Star Trek IV: The Voyage Home (1986)","Adventure|Comedy|Sci-Fi",92007,168,19,4.0,965703698
30826,1377,"Batman Returns (1992)","Action|Crime",103776,364,1,3.0,964982653
30886,1378,"Young Guns (1988)","Action|Comedy|Western",96487,11967,19,3.0,965707419
30911,1379,"Young Guns II (1990)","Action|Western",100994,9086,19,2.0,965707828
30922,1380,"Grease (1978)","Comedy|Musical|Romance",77631,621,19,3.0,965706839
30990,1381,"Grease 2 (1982)","Comedy|Musical|Romance",84021,9037,68,2.5,1269123666
31009,1382,"Marked for Death (1990)","Action|Drama",100114,10173,66,2.5,1113190823
31013,1385,"Under Siege (1992)","Action|Drama|Thriller",105690,8845,11,3.0,902154542
31037,1387,"Jaws (1975)","Action|Horror",73195,578,27,2.0,962686343
31128,1388,"Jaws 2 (1978)","Horror|Thriller",77766,579,57,2.0,969754810
31145,1389,"Jaws 3-D (1983)","Action|Horror",85750,17692,288,1.0,976138444
31151,1390,"My Fellow Americans (1996)","Comedy",117119,17795,45,2.0,951170422
31160,1391,"Mars Attacks! (1996)","Action|Comedy|Sci-Fi",116996,75,4,1.0,945173766
31246,1392,"Citizen Ruth (1996)","Comedy|Drama",115906,13891,195,4.0,974706375
31250,1393,"Jerry Maguire (1996)","Drama|Romance",116695,9390,31,3.0,852207084
31335,1394,"Raising Arizona (1987)","Comedy",93822,378,19,3.0,965705619
